room_id,host_id,host_is_superhost,property_type,room_type,neighborhood,accommodates,bedrooms,bathrooms,latitude,longitude,reviews,price,cleaning_fee,total
43778,127367,t,Guest suite,Entire home/apt,Haight Ashbury,2,2.0,1.0,37.77272,-122.44084,8,110.0,244.0,354.0
44032,98733,t,Apartment,Entire home/apt,Mission,2,1.0,1.0,37.75145,-122.41207,283,95.0,75.0,170.0
44680,196626,f,Apartment,Entire home/apt,Mission,4,1.0,1.0,37.75121,-122.42165,3,175.0,120.0,295.0
45299,178043,t,Guest suite,Entire home/apt,Castro/Upper Market,2,0.0,1.0,37.76068,-122.43331,140,116.0,75.0,191.0
45956,202591,t,House,Private room,Western Addition,2,1.0,3.0,37.77248,-122.43016000000001,147,125.0,30.0,155.0
47486,215133,t,House,Entire home/apt,Ocean View,2,2.0,1.0,37.725359999999995,-122.46861000000001,30,78.0,150.0,228.0
47682,216682,t,Apartment,Entire home/apt,Pacific Heights,2,1.0,1.0,37.7925,-122.42431,27,120.0,160.0,280.0
51374,236023,f,Apartment,Entire home/apt,Inner Sunset,4,2.0,1.0,37.765190000000004,-122.45613,8,9999.0,80.0,10079.0
51557,237200,t,Apartment,Entire home/apt,Western Addition,2,1.0,1.0,37.771209999999996,-122.42833999999999,107,119.0,175.0,294.0
51773,216682,t,Apartment,Private room,Pacific Heights,1,1.0,0.0,37.79312,-122.426,162,55.0,50.0,105.0
53280,126263,t,House,Private room,Bernal Heights,2,1.0,1.0,37.73878,-122.41188999999999,142,90.0,60.0,150.0
53934,252376,t,Apartment,Entire home/apt,Downtown/Civic Center,4,2.0,1.0,37.78775,-122.41633999999999,232,163.0,0.0,163.0
54518,255971,t,Condominium,Entire home/apt,Financial District,2,1.0,1.5,37.7933,-122.40078999999999,18,185.0,120.0,305.0
54634,216682,t,Apartment,Entire home/apt,Pacific Heights,2,1.0,1.0,37.79166,-122.4265,40,115.0,160.0,275.0
55632,262875,t,Apartment,Entire home/apt,Outer Richmond,4,1.0,1.0,37.77959,-122.48619,10,112.0,200.0,312.0
55636,262875,t,Apartment,Entire home/apt,Twin Peaks,4,1.0,1.0,37.74889,-122.44479,27,116.0,200.0,316.0
56621,216682,t,Apartment,Private room,Pacific Heights,1,1.0,0.0,37.792159999999996,-122.42458,123,55.0,70.0,125.0
56715,252376,t,Apartment,Entire home/apt,Downtown/Civic Center,4,2.0,1.0,37.78816,-122.41722,88,187.0,0.0,187.0
57479,210882,f,Apartment,Entire home/apt,Haight Ashbury,5,2.0,2.0,37.77459,-122.43923000000001,152,200.0,100.0,300.0
57561,272890,t,Apartment,Entire home/apt,Bernal Heights,2,1.0,1.0,37.7472,-122.41443000000001,215,175.0,,
57676,142882,f,Apartment,Private room,Mission,1,1.0,1.0,37.75762,-122.41933,122,99.0,100.0,199.0
59344,284917,t,Guest suite,Entire home/apt,Noe Valley,2,1.0,1.0,37.74565,-122.42863999999999,336,135.0,75.0,210.0
59381,285168,f,Condominium,Private room,Russian Hill,4,1.0,2.0,37.8031,-122.41596000000001,243,109.0,40.0,149.0
59702,287136,t,Cottage,Private room,Bernal Heights,2,1.0,1.0,37.742090000000005,-122.41408999999999,192,150.0,120.0,270.0
59831,287859,f,House,Private room,Outer Sunset,2,1.0,1.0,37.75674,-122.49178,1,100.0,200.0,300.0
60365,279544,f,House,Entire home/apt,Western Addition,6,3.0,2.0,37.769659999999995,-122.43496,201,475.0,185.0,660.0
62519,304426,t,Apartment,Private room,Glen Park,2,1.0,1.0,37.74183,-122.42993,36,85.0,45.0,130.0
62651,185923,f,House,Entire home/apt,Mission,6,3.0,2.5,37.76245,-122.42432,55,950.0,150.0,1100.0
63247,290120,t,Guest suite,Entire home/apt,Mission,2,1.0,1.0,37.74926,-122.41398000000001,365,166.0,65.0,231.0
64165,237691,t,Apartment,Private room,Marina,2,1.0,2.0,37.80317,-122.42873999999999,67,90.0,75.0,165.0
66119,52862,f,Apartment,Entire home/apt,Inner Richmond,2,0.0,1.0,37.77798,-122.47811999999999,97,95.0,75.0,170.0
66188,127367,t,Apartment,Entire home/apt,Outer Richmond,6,3.0,2.0,37.777190000000004,-122.50906,12,216.0,205.0,421.0
66664,252184,t,Apartment,Entire home/apt,Inner Sunset,3,1.0,1.0,37.7571,-122.46593999999999,44,90.0,140.0,230.0
68239,337833,t,Apartment,Entire home/apt,Mission,2,1.0,1.0,37.754259999999995,-122.42387,36,326.0,180.0,506.0
69410,347624,f,House,Entire home/apt,Inner Richmond,2,2.0,1.0,37.77442,-122.46319,52,80.0,100.0,180.0
69549,305973,f,House,Private room,Excelsior,2,1.0,1.0,37.730270000000004,-122.42643999999999,39,46.0,50.0,96.0
69553,305973,f,House,Private room,Excelsior,2,1.0,1.0,37.73128,-122.42478,27,37.0,35.0,72.0
69681,127367,t,Apartment,Entire home/apt,Seacliff,4,3.0,2.0,37.77707,-122.50923,7,185.0,255.0,440.0
70139,354456,t,Apartment,Entire home/apt,Bernal Heights,3,1.0,1.0,37.74527,-122.42424,10,108.0,,
70284,329072,f,House,Shared room,Chinatown,1,1.0,2.5,37.79364,-122.40635,15,30.0,,
70753,329072,f,Hostel,Shared room,Financial District,1,1.0,3.0,37.794470000000004,-122.4045,388,45.0,0.0,45.0
71645,367464,t,Guest suite,Private room,Bernal Heights,2,1.0,1.0,37.745779999999996,-122.40841,142,109.0,60.0,169.0
71779,368770,f,Apartment,Entire home/apt,Inner Richmond,2,1.0,1.0,37.77625,-122.46466000000001,2,80.0,100.0,180.0
72365,374909,f,Apartment,Entire home/apt,Western Addition,8,0.0,1.0,37.77518,-122.43333999999999,97,90.0,100.0,190.0
72444,329072,f,Hostel,Shared room,Financial District,2,1.0,1.0,37.79309,-122.40443,395,45.0,0.0,45.0
72921,374909,f,Apartment,Entire home/apt,Western Addition,6,1.0,1.0,37.77588,-122.43143,52,105.0,0.0,105.0
73011,380056,f,Apartment,Entire home/apt,South of Market,2,1.0,1.0,37.77026,-122.41855,30,270.0,120.0,390.0
74451,374909,f,Apartment,Entire home/apt,Western Addition,4,0.0,1.0,37.77388,-122.43298,19,100.0,100.0,200.0
74758,305973,f,House,Private room,Excelsior,2,1.0,1.0,37.73137,-122.42532,35,37.0,35.0,72.0
75422,305973,f,House,Private room,Excelsior,2,1.0,1.0,37.73128,-122.42473000000001,9,40.0,35.0,75.0
75423,305973,f,House,Private room,Excelsior,2,1.0,1.0,37.73048,-122.42493999999999,35,45.0,40.0,85.0
77175,395569,t,House,Entire home/apt,Glen Park,2,1.0,1.0,37.73838,-122.43375,381,135.0,50.0,185.0
77932,305973,f,House,Private room,Excelsior,3,1.0,1.0,37.73134,-122.42456999999999,23,57.0,50.0,107.0
